epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,46505.4,0.87855,0.89414,0.00897,0.88935,0.78586,0.89151,0.69294,0.87612,0.66778,0.01735,0.000528272,0.000528272,0.000528272
140,46838.2,0.88608,0.89555,0.0091,0.8679,0.82434,0.88795,0.69464,0.88643,0.6564,0.01788,0.000520021,0.000520021,0.000520021
141,47169.8,0.87809,0.87331,0.00903,0.88027,0.79776,0.89101,0.70052,0.87868,0.63131,0.01757,0.000511769,0.000511769,0.000511769
142,47504.9,0.86976,0.88371,0.00874,0.81048,0.83935,0.86961,0.68059,0.89265,0.68547,0.01835,0.000503517,0.000503517,0.000503517
143,47837.6,0.86023,0.8659,0.00873,0.8292,0.856,0.89359,0.70698,0.86552,0.63355,0.01741,0.000495266,0.000495266,0.000495266
144,48170.9,0.88023,0.87202,0.00898,0.87233,0.82951,0.89245,0.70885,0.86832,0.61486,0.01753,0.000487014,0.000487014,0.000487014
145,48508.9,0.86976,0.87228,0.00863,0.86138,0.81694,0.88808,0.70103,0.86613,0.66496,0.01725,0.000478762,0.000478762,0.000478762
146,48842.2,0.85683,0.86223,0.00877,0.83955,0.8175,0.88265,0.69205,0.88189,0.64198,0.01802,0.000470511,0.000470511,0.000470511
147,49174,0.86124,0.86044,0.00863,0.84122,0.82241,0.87272,0.68138,0.88535,0.68316,0.01813,0.000462259,0.000462259,0.000462259
148,49505.5,0.8625,0.85471,0.0086,0.87674,0.81949,0.87849,0.68629,0.87193,0.66242,0.01754,0.000454007,0.000454007,0.000454007
149,49841.4,0.858,0.84887,0.00862,0.86976,0.81912,0.875,0.68372,0.86894,0.68136,0.01754,0.000445756,0.000445756,0.000445756
150,50177.5,0.86074,0.85535,0.00874,0.88638,0.80421,0.88364,0.68972,0.85587,0.63516,0.01695,0.000437504,0.000437504,0.000437504
151,50511.7,0.86059,0.83828,0.00878,0.84739,0.82742,0.88341,0.69057,0.87896,0.64483,0.01754,0.000429253,0.000429253,0.000429253
152,50843,0.85139,0.85254,0.00856,0.86569,0.83094,0.88637,0.70019,0.85962,0.64357,0.01733,0.000421001,0.000421001,0.000421001
153,51175,0.84415,0.82795,0.00873,0.857,0.83768,0.88433,0.69833,0.85308,0.65689,0.01679,0.000412749,0.000412749,0.000412749
154,51510,0.83804,0.84474,0.00852,0.84618,0.82798,0.87672,0.69657,0.84919,0.67073,0.0166,0.000404498,0.000404498,0.000404498
155,51844.5,0.83715,0.84241,0.00845,0.83251,0.8307,0.87792,0.69422,0.86073,0.68613,0.01707,0.000396246,0.000396246,0.000396246
156,52175.8,0.83678,0.83729,0.00822,0.82335,0.84139,0.88561,0.6983,0.8649,0.6378,0.01739,0.000387994,0.000387994,0.000387994
157,52507.5,0.82603,0.81072,0.00835,0.85908,0.82102,0.88271,0.6991,0.87167,0.65091,0.01776,0.000379743,0.000379743,0.000379743
158,52834.6,0.83854,0.80758,0.00843,0.87218,0.80971,0.88937,0.69562,0.86767,0.64754,0.01721,0.000371491,0.000371491,0.000371491
159,53163.9,0.83146,0.84161,0.00848,0.87338,0.83079,0.88555,0.69541,0.86855,0.6354,0.0176,0.000363239,0.000363239,0.000363239
160,53492.9,0.83233,0.8246,0.00832,0.86148,0.85793,0.88924,0.70249,0.85286,0.63423,0.01704,0.000354988,0.000354988,0.000354988
161,53821.7,0.8204,0.81318,0.00819,0.84709,0.84752,0.89151,0.70482,0.86341,0.63616,0.01722,0.000346736,0.000346736,0.000346736
162,54152.9,0.81986,0.8097,0.0082,0.82953,0.8509,0.88465,0.70515,0.8456,0.64845,0.01656,0.000338484,0.000338484,0.000338484
163,54488.1,0.81115,0.80407,0.00811,0.85252,0.82123,0.87608,0.70269,0.84351,0.65903,0.0165,0.000330233,0.000330233,0.000330233
